Frequency (GHz),Calculated SMAm-SMAm
5.049888889,-0.0191451547
5.050206349,-0.0196888849
5.05052381,-0.0210234184
5.05084127,-0.0223559687
5.05115873,-0.0227399977
5.05147619,-0.0221767212
5.051793651,-0.0216130829
5.052111111,-0.0217066218
5.052428571,-0.0230215562
5.052746032,-0.0243370388
5.053063492,-0.0250345314
5.053380952,-0.0232571969
5.053698413,-0.0214783694
5.054015873,-0.0197755512
5.054333333,-0.0195443644
5.054650794,-0.0193126979
5.054968254,-0.0190805522
5.055285714,-0.0194579098
5.055603175,-0.0199027867
5.055920635,-0.0203474189
5.056238095,-0.0201516861
5.056555556,-0.0197406932
5.056873016,-0.0193275772
5.057190476,-0.0199798667
5.057507937,-0.0213441399
5.057825397,-0.0227093149
5.058142857,-0.0236263127
5.058460317,-0.0239936415
5.058777778,-0.0243595336
5.059095238,-0.0246995296
5.059412698,-0.024981554
5.059730159,-0.025262974
5.060047619,-0.025151922
5.060365079,-0.0228191112
5.06068254,-0.0204847031
5.061,-0.0181486956
5.06131746,-0.0198819049
5.061634921,-0.0216140716
5.061952381,-0.0233451968
5.062269841,-0.023747575
5.062587302,-0.0239146179
5.062904762,-0.0240806264
5.063222222,-0.0227242147
5.063539683,-0.0207145876
5.063857143,-0.0187037385
5.064174603,-0.0177063662
5.064492063,-0.0175386901
5.064809524,-0.017370708
5.065126984,-0.018230967
5.065444444,-0.020632793
5.065761905,-0.0230329612
5.066079365,-0.0243491736
5.066396825,-0.0224172204
5.066714286,-0.0204842306
5.067031746,-0.018741043
5.067349206,-0.0187140817
5.067666667,-0.0186855399
5.067984127,-0.0186554184
5.068301587,-0.0190107864
5.068619048,-0.0193863344
5.068936508,-0.0197617255
5.069253968,-0.0207323915
5.069571429,-0.0218522613
5.069888889,-0.0229725323
5.070206349,-0.0226639621
5.07052381,-0.0215841808
5.07084127,-0.0205023497
5.07115873,-0.0190001629
5.07147619,-0.017078903
5.071793651,-0.0151573015
5.072111111,-0.0140146275
5.072428571,-0.0143177508
5.072746032,-0.0146189413
5.073063492,-0.0151310825
5.073380952,-0.0164939745
5.073698413,-0.0178568576
5.074015873,-0.0191251501
5.074333333,-0.0185964869
5.074650794,-0.0180680063
5.074968254,-0.0175397083
5.075285714,-0.0182647664
5.075603175,-0.0191269549
5.075920635,-0.0199869124
5.076238095,-0.0214189856
5.076555556,-0.0230420382
5.076873016,-0.024664873
5.077190476,-0.0249542877
5.077507937,-0.0243535004
5.077825397,-0.0237510159
5.078142857,-0.0231784745
5.078460317,-0.022643698
5.078777778,-0.0221083136
5.079095238,-0.021385029
5.079412698,-0.0202238464
5.079730159,-0.0190616336
5.080047619,-0.0178489747
5.080365079,-0.016355347
5.08068254,-0.0148608244
5.081,-0.0133654068
