Freq(GHz)	GainS12Path	GainS13Path	GainS14Path
4.894015873	0.9670745137	0.0008779334	0.0009499478
4.894333333	0.9673457321	0.0008756028	0.0009497061
4.894650794	0.9677392159	0.0008758966	0.0009489348
4.894968254	0.9681721385	0.0008767512	0.0009480681
4.895285714	0.9686223239	0.0008776205	0.0009472197
4.895603175	0.9683391379	0.000877868	0.0009463738
4.895920635	0.9677139558	0.0008778137	0.000945525
4.896238095	0.9671038992	0.0008777582	0.0009446782
4.896555556	0.9668076972	0.0008773038	0.0009440676
4.896873016	0.9667928251	0.0008765022	0.0009436777
4.897190476	0.9667916911	0.0008757125	0.0009433021
4.897507937	0.9669149276	0.0008756605	0.0009437548
4.897825397	0.9672374828	0.0008768112	0.0009455598
4.898142857	0.9675791176	0.0008779697	0.0009473787
4.898460317	0.9678618754	0.0008791213	0.0009487056
4.898777778	0.9678970259	0.0008802283	0.0009483351
4.899095238	0.9679454262	0.0008813401	0.0009479727
4.899412698	0.9679667416	0.0008821653	0.00094758
4.899730159	0.9675317135	0.0008795955	0.0009467485
4.900047619	0.9671114214	0.0008770327	0.0009459298
4.900365079	0.9667058625	0.0008744771	0.000945124
4.90068254	0.9671120406	0.0008761203	0.0009459096
4.901	0.9675947739	0.0008780858	0.0009468303
4.90131746	0.9680935464	0.0008800547	0.0009477662
4.901634921	0.967616192	0.0008805503	0.000948746
4.901952381	0.9668766508	0.0008806355	0.0009497465
4.902269841	0.9661553857	0.0008807277	0.0009507594
4.902587302	0.9657576617	0.000880672	0.0009501534
4.902904762	0.9655529159	0.0008805315	0.0009486043
4.903222222	0.965360976	0.0008803969	0.00094707
4.903539683	0.9653976861	0.000880111	0.0009457377
4.903857143	0.96568118	0.0008796556	0.0009446143
4.904174603	0.9659783719	0.0008791987	0.0009434945
4.904492063	0.9660187234	0.000878954	0.0009432655
4.904809524	0.9655278471	0.000879152	0.0009448396
4.905126984	0.9650536566	0.0008793662	0.0009464263
4.905444444	0.9648069486	0.0008795116	0.0009478104
4.905761905	0.9655283849	0.0008792832	0.0009482345
4.906079365	0.9662663009	0.0008790599	0.0009486693
4.906396825	0.966983726	0.000878856	0.0009490618
4.906714286	0.9665895434	0.0008790952	0.0009478518
4.907031746	0.9662120001	0.0008793396	0.0009466667
4.907349206	0.965851091	0.0008795892	0.0009455066
4.907666667	0.9662685527	0.0008796529	0.0009464533
4.907984127	0.9668031697	0.0008796941	0.0009476852
4.908301587	0.9673530832	0.0008797384	0.000948923
4.908619048	0.9673878272	0.0008793788	0.0009491181
4.908936508	0.9672441655	0.0008788737	0.000948941
4.909253968	0.9671157873	0.0008783718	0.0009487751
4.909571429	0.9673292854	0.0008779734	0.00094731
4.909888889	0.9677883435	0.0008776509	0.000944921
4.910206349	0.9682583823	0.0008773331	0.0009425462
4.91052381	0.968161952	0.0008771686	0.0009414929
4.91084127	0.9673268841	0.0008772064	0.0009421598
4.91115873	0.9665105714	0.0008772533	0.000942836
4.91147619	0.9660013854	0.0008774606	0.0009439679
4.911793651	0.9662352494	0.0008780566	0.0009462373
4.912111111	0.9664819828	0.0008786573	0.0009485178
4.912428571	0.9667542927	0.0008794292	0.0009504713
4.912746032	0.9671246936	0.0008812798	0.0009502568
4.913063492	0.9675135369	0.0008831329	0.0009500601
4.913380952	0.9679208343	0.0008849886	0.0009498812
4.913698413	0.9672762077	0.0008839936	0.0009476237
4.914015873	0.9666315438	0.0008829651	0.0009453436
4.914333333	0.9660036868	0.0008819482	0.0009430741
4.914650794	0.9662965121	0.0008815471	0.0009440178
4.914968254	0.9667799774	0.0008812694	0.0009456009
4.915285714	0.9672748835	0.0008809949	0.0009471895
4.915603175	0.9673098977	0.0008799666	0.000947001
4.915920635	0.9671436435	0.0008785977	0.0009460059
4.916238095	0.9669932753	0.0008772365	0.000945024
4.916555556	0.9667351191	0.0008776092	0.0009445852
4.916873016	0.9663861248	0.0008794827	0.000944613
4.917190476	0.9660536404	0.0008813599	0.0009446464
4.917507937	0.9662247024	0.0008829347	0.0009452933
4.917825397	0.967185865	0.0008840258	0.0009469207
4.918142857	0.9681622558	0.0008851203	0.0009485648
4.918460317	0.9687562772	0.0008853256	0.0009498331
4.918777778	0.9680814952	0.0008826605	0.0009498557
4.919095238	0.9674216371	0.0008800112	0.0009499033
4.919412698	0.9668416823	0.0008775645	0.0009499023
4.919730159	0.966960597	0.0008770887	0.0009491424
4.920047619	0.9670959273	0.0008766141	0.0009483879
4.920365079	0.9672476739	0.0008761407	0.0009476388
4.92068254	0.9675064783	0.0008780423	0.0009474676
4.921	0.9677835006	0.0008801092	0.0009473387
4.92131746	0.9680725278	0.0008821826	0.0009472135
4.921634921	0.9677423794	0.0008823977	0.0009466165
4.921952381	0.9672583171	0.000882123	0.0009459149
4.922269841	0.9667910178	0.000881862	0.0009452395
4.922587302	0.9666527587	0.0008823286	0.0009458261
4.922904762	0.9667048156	0.0008832028	0.0009471238
4.923222222	0.9667692345	0.000884077	0.0009484278
4.923539683	0.9672061834	0.0008840108	0.0009487729
4.923857143	0.968036383	0.0008829702	0.0009481191
4.924174603	0.9688838597	0.000881944	0.0009474792
4.924492063	0.9689185517	0.0008816644	0.0009471138
4.924809524	0.9673515974	0.0008828185	0.0009472714
4.925126984	0.965803168	0.0008839726	0.0009474437
4.925444444	0.9647362357	0.0008845492	0.0009476706
4.925761905	0.9656686046	0.000882657	0.0009480782
4.926079365	0.9666144058	0.0008807734	0.0009484921
4.926396825	0.9675333617	0.000879008	0.0009488778
4.926714286	0.9674902117	0.0008799141	0.0009484409
4.927031746	0.9674623751	0.0008808315	0.0009480156
4.927349206	0.9674498548	0.0008817602	0.000947602
4.927666667	0.9676851227	0.0008839888	0.0009484539
4.927984127	0.9679647722	0.0008863836	0.0009494763
4.928301587	0.9682600898	0.0008887851	0.0009505147
4.928619048	0.9680844844	0.0008878922	0.0009493472
4.928936508	0.9677557328	0.0008858461	0.0009474104
4.929253968	0.9674447161	0.000883804	0.0009454822
4.929571429	0.9671539695	0.0008823706	0.0009458065
4.929888889	0.9668806716	0.0008813628	0.0009476949
4.930206349	0.9666225434	0.0008803625	0.0009495933
4.93052381	0.9667318322	0.0008806426	0.0009510344
4.93084127	0.9673004889	0.0008825389	0.0009518927
4.93115873	0.96788159	0.0008844383	0.0009527602
4.93147619	0.9681493396	0.0008857371	0.0009527518
4.931793651	0.967642504	0.0008855793	0.000950609
4.932111111	0.9671551048	0.0008854347	0.0009484865
4.932428571	0.9668128652	0.0008852646	0.0009469933
4.932746032	0.9672447149	0.0008848673	0.0009491933
4.933063492	0.9676870596	0.0008844716	0.0009513978
4.933380952	0.9681398941	0.0008840774	0.0009536069
4.933698413	0.9678728295	0.0008839808	0.0009510726
4.934015873	0.9676166332	0.0008838967	0.0009485226
4.934333333	0.967376942	0.0008838229	0.0009459934
4.934650794	0.9675651698	0.0008831879	0.0009473133
4.934968254	0.9678452101	0.0008824471	0.000949357
4.935285714	0.9681401835	0.0008817065	0.0009514094
4.935603175	0.9681817858	0.0008815202	0.0009504348
4.935920635	0.9681196905	0.0008815822	0.000948134
